Date,Open,High,Low,Close,Adj Close,Volume
2011-03-04,303.029175,303.352966,288.643097,289.066498,289.066498,28180634
2011-03-11,288.030396,288.917053,274.610687,279.631866,279.631866,33227078
2011-03-18,281.265747,293.096405,278.824890,292.349213,292.349213,24333467
2011-03-25,292.344208,292.981842,285.435120,292.284454,292.284454,20342563
2011-04-01,293.280701,296.483704,281.783813,288.917053,288.917053,31949307
2011-04-08,291.352936,291.352936,282.964386,288.174835,288.174835,26842838
2011-04-15,271.626862,271.856018,258.530975,261.569580,261.569580,54800036
2011-04-22,261.644287,268.618164,260.030334,267.980530,267.980530,18929086
2011-04-29,268.991760,271.846039,263.826111,266.137451,266.137451,25211144
2011-05-06,268.070221,271.198486,264.463715,266.526001,266.526001,19743327
2011-05-13,266.306824,267.268219,256.553375,264.633087,264.633087,25680698
2011-05-20,264.907074,265.001709,255.741425,258.097595,258.097595,19949696
2011-05-27,258.271942,265.604462,257.186005,263.044037,263.044037,19258917
2011-06-03,260.025360,262.814911,256.857239,257.400208,257.400208,17948424
2011-06-10,256.080139,257.380280,247.407654,249.250748,249.250748,24168250
2011-06-17,252.144897,252.398941,235.980484,239.213364,239.213364,36633198
2011-06-24,239.442505,252.388977,235.626816,252.244522,252.244522,29584074
2011-07-01,252.423859,274.311798,252.244522,272.279419,272.279419,28339827
2011-07-08,265.479919,270.984283,261.768829,263.482391,263.482391,39929909
2011-07-15,297.634399,302.894684,292.981842,302.361664,302.361664,53931796
2011-07-22,301.564667,312.578369,300.374115,304.329285,304.329285,32211285
2011-07-29,300.986816,306.600800,287.656799,287.681702,287.681702,40239062
2011-08-05,290.182312,293.898407,269.494873,280.015442,280.015442,60416811
2011-08-12,283.686676,284.184814,249.310516,251.497330,251.497330,55423766
2011-08-19,248.737671,267.631836,244.513504,259.049011,259.049011,43261951
2011-08-26,259.024109,272.130005,255.611908,265.255768,265.255768,28164975
2011-09-02,261.255737,268.543427,254.296829,266.481171,266.481171,20583464
2011-09-09,264.707825,271.472443,257.783752,270.266968,270.266968,28001767
2011-09-16,271.382782,278.217163,256.040283,259.357849,259.357849,31510467
2011-09-23,257.315521,272.503601,255.666702,262.765106,262.765106,27286494
2011-09-30,259.133698,261.021637,239.402664,256.393982,256.393982,38775195
2011-10-07,257.450012,278.456268,254.197205,278.451294,278.451294,33920466
2011-10-14,298.615723,298.680481,287.621918,290.745209,290.745209,45468591
2011-10-21,293.654297,300.224670,285.360413,298.217224,298.217224,32143633
2011-10-28,296.149963,300.025421,287.298126,297.634399,297.634399,26060516
2011-11-04,295.641876,306.037903,294.675476,296.428925,296.428925,31720452
2011-11-11,299.527313,307.995544,297.275726,299.313110,299.313110,32006521
2011-11-18,299.875977,301.121338,283.990540,283.990540,283.990540,22122811
2011-11-25,281.539734,306.849854,279.616913,305.739014,305.739014,26580660
2011-12-02,307.372894,314.770172,306.501160,306.874756,306.874756,28667251
2011-12-09,307.846130,317.091461,305.101410,308.613251,308.613251,30695826
2011-12-16,310.994324,314.740265,308.324310,313.674286,313.674286,26722187
2011-12-23,314.819977,321.295715,314.102661,320.000549,320.000549,13576097
2011-12-30,319.811279,333.873566,319.811279,328.274536,328.274536,23298402
2012-01-06,328.344299,328.767700,307.303162,313.644379,313.644379,34501437
2012-01-13,311.960693,319.298187,309.370392,318.590851,318.590851,26666781
2012-01-20,294.162415,294.396515,281.220917,282.989288,282.989288,50707153
2012-01-27,284.324280,292.110107,283.601990,291.462524,291.462524,25747749
2012-02-03,294.227173,306.102661,292.927032,304.588318,304.588318,26180364
2012-02-10,302.805023,305.773895,297.748962,302.127563,302.127563,21885727
2012-02-17,301.355438,307.786346,299.054077,301.923309,301.923309,17970908
2012-02-24,302.541016,311.681732,301.400269,310.037903,310.037903,24033146
2012-03-02,309.838654,310.834900,295.811218,302.436401,302.436401,17969101
2012-03-09,302.839874,310.585846,298.511108,309.405273,309.405273,24004439
2012-03-16,309.285736,323.188599,308.867279,321.818756,321.818756,23374485
2012-03-23,322.092712,328.065338,318.575897,322.994324,322.994324,20536288
2012-03-30,324.658112,325.524841,313.111389,314.979370,314.979370,21251558
2012-04-06,313.066559,325.350494,311.108887,324.289490,324.289490,25335208
2012-04-13,322.565948,323.283264,298.381592,298.531036,298.531036,45850016
2012-04-20,300.996796,307.846130,293.998016,306.585846,306.585846,22281002
2012-04-27,306.361694,307.218475,298.974365,304.369141,304.369141,19122407
2012-05-04,301.828674,307.298157,296.389069,305.684235,305.684235,21568342
2012-05-11,304.035400,317.734070,299.168640,310.361694,310.361694,28536161
2012-05-18,311.382874,315.029205,296.887207,300.702881,300.702881,34469117
2012-05-25,299.377869,299.741486,288.418945,289.345459,289.345459,22208132
2012-06-01,284.827393,292.847351,282.177338,288.035370,288.035370,23457196
2012-06-08,286.849823,291.567139,277.220917,278.481171,278.481171,23276521
2012-06-15,279.123779,291.049072,277.504852,281.549683,281.549683,23954050
2012-06-22,282.939484,285.923279,277.564606,281.101349,281.101349,17611565
2012-06-29,286.406464,298.909607,285.031616,296.847351,296.847351,15478600
2012-07-06,295.118835,295.651825,279.995514,284.174835,284.174835,23305227
2012-07-13,285.006714,298.122559,283.138733,295.422668,295.422668,22768222
2012-07-20,303.243378,308.020477,297.973114,305.534790,305.534790,31202517
2012-07-27,308.289459,320.100189,307.597046,313.201050,313.201050,22934242
2012-08-03,318.805054,323.477539,316.882263,319.975647,319.975647,16167976
2012-08-10,318.102661,336.060364,316.877258,335.178680,335.178680,25078851
2012-08-17,335.801331,339.029236,329.848633,337.136322,337.136322,19776651
2012-08-24,336.538574,343.208557,328.389130,339.567230,339.567230,21512533
2012-08-31,340.722900,348.638214,335.492493,348.394135,348.394135,17602533
2012-09-07,348.693024,355.074097,339.168701,351.701721,351.701721,26033415
2012-09-14,353.475098,364.324432,351.183685,362.700500,362.700500,24490052
2012-09-21,364.737885,381.016846,363.696777,376.837524,376.837524,51362600
2012-09-28,375.666901,383.507507,373.734161,382.590942,382.590942,26908885
2012-10-05,383.915985,385.744141,367.766510,374.336884,374.336884,24333869
2012-10-12,374.521210,378.292053,336.737823,346.202362,346.202362,44600148
2012-10-19,351.472595,352.030518,333.599579,337.614532,337.614532,46879058
2012-10-26,336.986877,344.160004,334.346771,342.511169,342.511169,11117315
2012-11-02,346.097748,346.476318,324.399078,324.927094,324.927094,20822556
2012-11-09,326.102692,333.649414,320.747772,322.421478,322.421478,19335202
2012-11-16,321.788849,337.734100,316.812500,331.691742,331.691742,20089619
